"filename", "language", "JSON", "JavaScript", "SCSS", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\app.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 27, 107
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\largrange\Lagrangepolynomial.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 8, 6, 28
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\largrange\Lagrangequadratic.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 8, 9, 31
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\largrange\Larangelinear.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 8, 8, 27
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\newton\Newtonlinear.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 8, 18, 67
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\newton\Newtonpolynomial.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 20, 30, 99
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\newton\Newtonquadratic.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\choleskey.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 27, 17, 65
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\cramer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 11, 35
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\gauss.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 9, 10, 46
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\gaussjordan.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 11, 31, 114
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\jacobi.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 5, 8, 40
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\lu.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 10, 23, 66
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\seidel.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\bisection.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\falseposition.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\newtonraphson.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 19, 20, 59
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\onepoint.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 18, 14, 53
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\secant.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 1, 6, 32
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\taylor.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 49, 48, 111
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\package-lock.json", "JSON", 1791, 0, 0, 0, 0, 0, 0, 0, 1, 1792
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\package-lock.json", "JSON", 31592, 0, 0, 0, 0, 0, 0, 0, 1, 31593
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\App.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 18, 112
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\lagrange\lagrangelinear.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\lagrange\lagrangepolynomial.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\lagrange\lagrangequadratic.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\chart\polychart.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\newtonlinear.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 30, 123
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\newtonpolynomial.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 0, 29, 134
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\newtonquadratic.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 27, 107
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\cholesky.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 15, 85
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\cramer.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 20, 111
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\gauss.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 28, 115
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\gaussjordan.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 21, 104
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\jacobi.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 3, 29, 135
